"","mean.lam","grid","trip","transmice","rep.number","month","year","seed","season","dec","year.dec"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",85.0548157585902,"egl M1",1,85.0548157585902,1,"May",1999,6.44972027894192,0,0.25,1999.25
"10",141.233268655882,"egl M1",2,141.233268655882,1,"Aug",1999,6.44972027894192,1,0.5,1999.5
"11",125.218238994853,"egl M1",3,125.218238994853,1,"Nov",1999,6.44972027894192,2,0.75,1999.75
"12",24.9003356471473,"egl M1",4,24.9003356471473,1,"Feb",2000,7.4485218995907,3,0,2000
"13",87.8554644699713,"egl M1",5,87.8554644699713,1,"May",2000,7.4485218995907,0,0.25,2000.25
"14",133.271376328553,"egl M1",6,133.271376328553,1,"Aug",2000,7.4485218995907,1,0.5,2000.5
"15",122.522770628737,"egl M1",7,122.522770628737,1,"Nov",2000,7.4485218995907,2,0.75,2000.75
"16",31.5625693180338,"egl M1",8,31.5625693180338,1,"Feb",2001,0,3,0,2001
"17",15.8788066151116,"egl M1",9,15.8788066151116,1,"May",2001,0,0,0.25,2001.25
"18",3.38509668639267,"egl M1",10,3.38509668639267,1,"Aug",2001,0,1,0.5,2001.5
"19",2.07964357070273,"egl M1",11,2.07964357070273,1,"Nov",2001,0,2,0.75,2001.75
"20",2.1634009775998,"egl M1",12,2.1634009775998,1,"May",2002,0,0,0.25,2002.25
"21",2.04599514538106,"egl M1",13,2.04599514538106,1,"Nov",2002,0,2,0.75,2002.75
"22",3.97834961684704,"egl M1",14,3.97834961684704,1,"Feb",2003,3.27581295400524,3,0,2003
"23",8.86927821580704,"egl M1",15,8.86927821580704,1,"May",2003,3.27581295400524,0,0.25,2003.25
"24",18.490012793982,"egl M1",16,18.490012793982,1,"Aug",2003,3.27581295400524,1,0.5,2003.5
"25",18.0114174229433,"egl M1",17,18.0114174229433,1,"Nov",2003,3.27581295400524,2,0.75,2003.75
"26",44.7563366210221,"egl M1",18,44.7563366210221,1,"Feb",2004,0,3,0,2004
"27",12.9937549491427,"egl M1",19,12.9937549491427,1,"May",2004,0,0,0.25,2004.25
"28",5.04112094449978,"egl M1",20,5.04112094449978,1,"Aug",2004,0,1,0.5,2004.5
"29",27.2043967168127,"egl M2",1,27.2043967168127,2,"May",1999,7.8287638685721,0,0.25,1999.25
"30",151.721986925549,"egl M2",2,151.721986925549,2,"Aug",1999,7.8287638685721,1,0.5,1999.5
"31",83.5698522472481,"egl M2",3,83.5698522472481,2,"Nov",1999,7.8287638685721,2,0.75,1999.75
"32",19.9142345024384,"egl M2",4,19.9142345024384,2,"Feb",2000,8.12793875819028,3,0,2000
"33",24.6587442320682,"egl M2",5,24.6587442320682,2,"May",2000,8.12793875819028,0,0.25,2000.25
"34",173.728666151005,"egl M2",6,173.728666151005,2,"Aug",2000,8.12793875819028,1,0.5,2000.5
"35",135.955952325461,"egl M2",7,135.955952325461,2,"Nov",2000,8.12793875819028,2,0.75,2000.75
"36",13.2672986203433,"egl M2",8,13.2672986203433,2,"Feb",2001,0,3,0,2001
"37",4.7915075310477,"egl M2",9,4.7915075310477,2,"May",2001,0,0,0.25,2001.25
"38",2.78045724823674,"egl M2",10,2.78045724823674,2,"Aug",2001,0,1,0.5,2001.5
"39",2.02383888618495,"egl M2",11,2.02383888618495,2,"Nov",2001,0,2,0.75,2001.75
"40",1.09966693400726,"egl M2",12,1.09966693400726,2,"May",2002,0,0,0.25,2002.25
"41",33.9016972138992,"egl MR1",1,33.9016972138992,3,"May",1999,6.48918983813357,0,0.25,1999.25
"42",114.296458330107,"egl MR1",2,114.296458330107,3,"Aug",1999,6.48918983813357,1,0.5,1999.5
"43",65.989482326183,"egl MR1",3,65.989482326183,3,"Nov",1999,6.48918983813357,2,0.75,1999.75
"44",23.1884100286906,"egl MR1",4,23.1884100286906,3,"Feb",2000,7.56591064276523,3,0,2000
"45",58.1313057587751,"egl MR1",5,58.1313057587751,3,"May",2000,7.56591064276523,0,0.25,2000.25
"46",97.5923528897748,"egl MR1",6,97.5923528897748,3,"Aug",2000,7.56591064276523,1,0.5,2000.5
"47",133.769177395111,"egl MR1",7,133.769177395111,3,"Nov",2000,7.56591064276523,2,0.75,2000.75
"48",17.1857792698332,"egl MR1",8,17.1857792698332,3,"Feb",2001,0,3,0,2001
"49",10.7588010786226,"egl MR1",9,10.7588010786226,3,"May",2001,0,0,0.25,2001.25
"50",3.88918791864303,"egl MR1",10,3.88918791864303,3,"Aug",2001,0,1,0.5,2001.5
"51",2.03105871325656,"egl MR1",11,2.03105871325656,3,"Nov",2001,0,2,0.75,2001.75
"52",1.38044579005426,"egl MR1",12,1.38044579005426,3,"May",2002,0,0,0.25,2002.25
"53",1.03890518978973,"egl MR1",13,1.03890518978973,3,"Nov",2002,0,2,0.75,2002.75
"54",1.77202284301171,"egl MR1",14,1.77202284301171,3,"Feb",2003,3.27581295400524,3,0,2003
"55",2.95098512357668,"egl MR1",15,2.95098512357668,3,"May",2003,3.27581295400524,0,0.25,2003.25
"56",6.96351420066447,"egl MR1",16,6.96351420066447,3,"Aug",2003,3.27581295400524,1,0.5,2003.5
"57",10.3266868484986,"egl MR1",17,10.3266868484986,3,"Nov",2003,3.27581295400524,2,0.75,2003.75
"58",26.4033049593952,"egl MR1",18,26.4033049593952,3,"Feb",2004,0,3,0,2004
"59",9.56480781416643,"egl MR1",19,9.56480781416643,3,"May",2004,0,0,0.25,2004.25
"60",4.04421539900207,"egl MR1",20,4.04421539900207,3,"Aug",2004,0,1,0.5,2004.5
"61",64.9042908137373,"egl MR2",1,64.9042908137373,4,"May",1999,7.81241015232866,0,0.25,1999.25
"62",252.201393352722,"egl MR2",2,252.201393352722,4,"Aug",1999,7.81241015232866,1,0.5,1999.5
"63",145.861848471497,"egl MR2",3,145.861848471497,4,"Nov",1999,7.81241015232866,2,0.75,1999.75
"64",33.534801719442,"egl MR2",4,33.534801719442,4,"Feb",2000,6.61962390774981,3,0,2000
"65",50.7341109070787,"egl MR2",5,50.7341109070787,4,"May",2000,6.61962390774981,0,0.25,2000.25
"66",112.776705736869,"egl MR2",6,112.776705736869,4,"Aug",2000,6.61962390774981,1,0.5,2000.5
"67",67.9761745432272,"egl MR2",7,67.9761745432272,4,"Nov",2000,6.61962390774981,2,0.75,2000.75
"68",22.8374261635912,"egl MR2",8,22.8374261635912,4,"Feb",2001,0,3,0,2001
"69",9.24924870897544,"egl MR2",9,9.24924870897544,4,"May",2001,0,0,0.25,2001.25
"70",3.52215818104638,"egl MR2",10,3.52215818104638,4,"Aug",2001,0,1,0.5,2001.5
"71",2.20534821927384,"egl MR2",11,2.20534821927384,4,"Nov",2001,0,2,0.75,2001.75
"72",1.54149984487211,"egl MR2",12,1.54149984487211,4,"May",2002,0,0,0.25,2002.25
"73",1.23955143796826,"egl MR2",13,1.23955143796826,4,"Nov",2002,0,2,0.75,2002.75
"74",3.19194189670409,"egl MR2",14,3.19194189670409,4,"Feb",2003,7.23804726538981,3,0,2003
"75",17.7895747433484,"egl MR2",15,17.7895747433484,4,"May",2003,7.23804726538981,0,0.25,2003.25
"76",135.827691751196,"egl MR2",16,135.827691751196,4,"Aug",2003,7.23804726538981,1,0.5,2003.5
"77",83.8378958446515,"egl MR2",17,83.8378958446515,4,"Nov",2003,7.23804726538981,2,0.75,2003.75
"78",34.326633740596,"egl MR2",18,34.326633740596,4,"Feb",2004,3.73154543118092,3,0,2004
"79",20.3408660722848,"egl MR2",19,20.3408660722848,4,"May",2004,3.73154543118092,0,0.25,2004.25
"80",19.5936182115285,"egl MR2",20,19.5936182115285,4,"Aug",2004,3.73154543118092,1,0.5,2004.5
"81",5.23874920325949,"hol M1",1,5.23874920325949,5,"May",1999,0,0,0.25,1999.25
"82",3.89271958490291,"hol M1",2,3.89271958490291,5,"Aug",1999,0,1,0.5,1999.5
"83",4.38262770842642,"hol M1",3,4.38262770842642,5,"Nov",1999,0,2,0.75,1999.75
"84",4.98991237391393,"hol M1",4,4.98991237391393,5,"Feb",2000,4.47255364995562,3,0,2000
"85",9.07538111182616,"hol M1",5,9.07538111182616,5,"May",2000,4.47255364995562,0,0.25,2000.25
"86",17.0709334335962,"hol M1",6,17.0709334335962,5,"Aug",2000,4.47255364995562,1,0.5,2000.5
"87",22.2814289076925,"hol M1",7,22.2814289076925,5,"Nov",2000,4.47255364995562,2,0.75,2000.75
"88",13.6302312697798,"hol M1",8,13.6302312697798,5,"Feb",2001,0,3,0,2001
"89",11.0917005035407,"hol M1",9,11.0917005035407,5,"May",2001,0,0,0.25,2001.25
"90",3.45257225864879,"hol M1",10,3.45257225864879,5,"Aug",2001,0,1,0.5,2001.5
"91",1.18764848960352,"hol M1",11,1.18764848960352,5,"Nov",2001,0,2,0.75,2001.75
"92",0.796357907751335,"hol M1",12,0.796357907751335,5,"May",2002,0,0,0.25,2002.25
"93",42.0589571286782,"hol M2",1,42.0589571286782,6,"May",1999,3.45181690697416,0,0.25,1999.25
"94",24.6744301344587,"hol M2",2,24.6744301344587,6,"Aug",1999,3.45181690697416,1,0.5,1999.5
"95",13.7018595376996,"hol M2",3,13.7018595376996,6,"Nov",1999,3.45181690697416,2,0.75,1999.75
"96",18.1239504932731,"hol M2",4,18.1239504932731,6,"Feb",2000,6.70425674831284,3,0,2000
"97",64.1415434638064,"hol M2",5,64.1415434638064,6,"May",2000,6.70425674831284,0,0.25,2000.25
"98",73.7897448874518,"hol M2",6,73.7897448874518,6,"Aug",2000,6.70425674831284,1,0.5,2000.5
"99",41.4565808695284,"hol M2",7,41.4565808695284,6,"Nov",2000,6.70425674831284,2,0.75,2000.75
"100",40.2547919220264,"hol M2",8,40.2547919220264,6,"Feb",2001,0,3,0,2001
"101",32.685094075577,"hol M2",9,32.685094075577,6,"May",2001,0,0,0.25,2001.25
"102",11.8769300284157,"hol M2",10,11.8769300284157,6,"Aug",2001,0,1,0.5,2001.5
"103",3.44043695949113,"hol M2",11,3.44043695949113,6,"Nov",2001,0,2,0.75,2001.75
"104",2.11301229243346,"hol M2",12,2.11301229243346,6,"May",2002,0,0,0.25,2002.25
"105",1.34087355287711,"hol M2",13,1.34087355287711,6,"Nov",2002,0,2,0.75,2002.75
"106",1.79357912751178,"hol M2",14,1.79357912751178,6,"Feb",2003,6.16256505579264,3,0,2003
"107",5.73815577365167,"hol M2",15,5.73815577365167,6,"May",2003,6.16256505579264,0,0.25,2003.25
"108",17.3405910395692,"hol M2",16,17.3405910395692,6,"Aug",2003,6.16256505579264,1,0.5,2003.5
"109",21.1363549841071,"hol M2",17,21.1363549841071,6,"Nov",2003,6.16256505579264,2,0.75,2003.75
"110",24.4040379175207,"hol M2",18,24.4040379175207,6,"Feb",2004,3.27581295400524,3,0,2004
"111",8.30910939234171,"hol M2",19,8.30910939234171,6,"May",2004,3.27581295400524,0,0.25,2004.25
"112",5.29742514715151,"hol M2",20,5.29742514715151,6,"Aug",2004,3.27581295400524,1,0.5,2004.5
"113",2.246327054186,"hol MR1",1,2.246327054186,7,"May",1999,4.68168549500184,0,0.25,1999.25
"114",2.74827498660529,"hol MR1",2,2.74827498660529,7,"Aug",1999,4.68168549500184,1,0.5,1999.5
"115",4.47935340206016,"hol MR1",3,4.47935340206016,7,"Nov",1999,4.68168549500184,2,0.75,1999.75
"116",6.68923479767555,"hol MR1",4,6.68923479767555,7,"Feb",2000,6.28368510184232,3,0,2000
"117",13.2926636061606,"hol MR1",5,13.2926636061606,7,"May",2000,6.28368510184232,0,0.25,2000.25
"118",15.4589853970327,"hol MR1",6,15.4589853970327,7,"Aug",2000,6.28368510184232,1,0.5,2000.5
"119",23.0096046796654,"hol MR1",7,23.0096046796654,7,"Nov",2000,6.28368510184232,2,0.75,2000.75
"120",16.1861226998267,"hol MR1",8,16.1861226998267,7,"Feb",2001,0,3,0,2001
"121",13.4255017466684,"hol MR1",9,13.4255017466684,7,"May",2001,0,0,0.25,2001.25
"122",2.53586313968978,"hol MR1",10,2.53586313968978,7,"Aug",2001,0,1,0.5,2001.5
"123",0.987142364883436,"hol MR1",11,0.987142364883436,7,"Nov",2001,0,2,0.75,2001.75
"124",1.17180293106116,"hol MR1",12,1.17180293106116,7,"May",2002,0,0,0.25,2002.25
"125",0.775037782358176,"hol MR1",13,0.775037782358176,7,"Nov",2002,0,2,0.75,2002.75
"126",1.5422811095042,"hol MR1",14,1.5422811095042,7,"Feb",2003,7.78525139280414,3,0,2003
"127",4.13836090578397,"hol MR1",15,4.13836090578397,7,"May",2003,7.78525139280414,0,0.25,2003.25
"128",8.59518588756238,"hol MR1",16,8.59518588756238,7,"Aug",2003,7.78525139280414,1,0.5,2003.5
"129",7.53011482500822,"hol MR1",17,7.53011482500822,7,"Nov",2003,7.78525139280414,2,0.75,2003.75
"130",8.36892283993215,"hol MR1",18,8.36892283993215,7,"Feb",2004,2.41465338959782,3,0,2004
"131",3.82949250534082,"hol MR1",19,3.82949250534082,7,"May",2004,2.41465338959782,0,0.25,2004.25
"132",2.95892694291104,"hol MR1",20,2.95892694291104,7,"Aug",2004,2.41465338959782,1,0.5,2004.5
"133",29.4315011278654,"hol MR2",1,29.4315011278654,8,"May",1999,2.41465338959782,0,0.25,1999.25
"134",25.0046224055824,"hol MR2",2,25.0046224055824,8,"Aug",1999,2.41465338959782,1,0.5,1999.5
"135",16.8721498078592,"hol MR2",3,16.8721498078592,8,"Nov",1999,2.41465338959782,2,0.75,1999.75
"136",25.658985610185,"hol MR2",4,25.658985610185,8,"Feb",2000,7.36506198202914,3,0,2000
"137",94.9065154283832,"hol MR2",5,94.9065154283832,8,"May",2000,7.36506198202914,0,0.25,2000.25
"138",95.315230681735,"hol MR2",6,95.315230681735,8,"Aug",2000,7.36506198202914,1,0.5,2000.5
"139",97.8116283101676,"hol MR2",7,97.8116283101676,8,"Nov",2000,7.36506198202914,2,0.75,2000.75
"140",48.0058420390693,"hol MR2",8,48.0058420390693,8,"Feb",2001,0,3,0,2001
"141",18.1618627674649,"hol MR2",9,18.1618627674649,8,"May",2001,0,0,0.25,2001.25
"142",2.95377614587084,"hol MR2",10,2.95377614587084,8,"Aug",2001,0,1,0.5,2001.5
"143",1.34049485666389,"hol MR2",11,1.34049485666389,8,"Nov",2001,0,2,0.75,2001.75
"144",1.55290069515392,"hol MR2",12,1.55290069515392,8,"May",2002,0,0,0.25,2002.25
"145",1.30907438999462,"hol MR2",13,1.30907438999462,8,"Nov",2002,0,2,0.75,2002.75
"146",1.09415375893215,"hol MR2",14,1.09415375893215,8,"Feb",2003,6.75891637279354,3,0,2003
"147",3.27021156596269,"hol MR2",15,3.27021156596269,8,"May",2003,6.75891637279354,0,0.25,2003.25
"148",20.3504484343493,"hol MR2",16,20.3504484343493,8,"Aug",2003,6.75891637279354,1,0.5,2003.5
"149",24.5735585146091,"hol MR2",17,24.5735585146091,8,"Nov",2003,6.75891637279354,2,0.75,2003.75
"150",15.8487426767691,"hol MR2",18,15.8487426767691,8,"Feb",2004,0,3,0,2004
"151",6.88626227260183,"hol MR2",19,6.88626227260183,8,"May",2004,0,0,0.25,2004.25
"152",3.83874375391377,"hol MR2",20,3.83874375391377,8,"Aug",2004,0,1,0.5,2004.5
