"","grid","month","rat_abun","rat_sd","poss_abun","poss_sd","mouse_abun","mouse_sd","treat"
"1","Kaimai South",0,10.9779333333333,1.49821984581791,31.6904,3.48209077572819,2.01093333333333,0.103992867656026,"Control"
"2","Kaimai South",2,29.7317333333333,3.61057272620974,37.9394666666667,3.89786462123335,8.864,1.45576278391051,"Control"
"3","Kaimai South",5,14.2465333333333,2.23975201339218,42.4022666666667,4.1063656694807,2.6368,0.773989037778986,"Control"
"4","Kaimai South",8,7.58013333333333,1.65578624549234,65.1256666666667,5.0981834006982,1.01306666666667,0.113564028965164,"Control"
"5","Kaimai South",11,30.3128666666667,3.67494418958193,NA,NA,2.6192,0.769045374941718,"Control"
"6","Kaimai South",16,37.8674,4.03732220306621,25.0767333333333,2.70522948133031,3.9996,0.972314866566716,"Control"
"7","Kaimai South",19,41.0076,4.43085218327935,39.342,3.8786302029819,1.01166666666667,0.107384003978756,"Control"
"8","Kaimai South",22,40.5634666666667,4.32422847596536,37.2908666666667,3.19393331117323,3.28326666666667,0.515730285521462,"Control"
"9","Kaimai South",27,57.087,5.18834838176807,28.1193333333333,2.81643185161305,2.27493333333333,0.508752314474723,"Control"
"10","Kaimai South",31,19.0494666666667,2.7486099588706,31.2339333333333,3.3219789631841,1.01266666666667,0.111834949930499,"Control"
"11","Te Pua",0,61.3043333333333,5.43771574030742,45.2431333333333,4.26818079983087,1.3148,0.538504372434067,"Control"
"12","Te Pua",2,20.0084666666667,2.78430933520694,52.7012,4.69475465543745,1.32566666666667,0.55066151499431,"Control"
"13","Te Pua",5,4.95273333333333,1.51159458523162,48.6125333333333,4.44829428774224,1.0124,0.11066641979585,"Control"
"14","Te Pua",8,9.528,1.85726841438286,68.5694,5.3243722856329,4.0064,0.972979351915865,"Control"
"15","Te Pua",11,NA,NA,NA,NA,NA,NA,"Control"
"16","Te Pua",16,31.5972,3.52434110513559,75.6594,5.61386610749178,6.5546,1.28241769573844,"Control"
"17","Te Pua",19,5.01546666666667,1.4906516198313,62.0263333333333,4.82221147093878,6.56006666666667,1.26347342139094,"Control"
"18","Te Pua",22,57.2493333333333,5.56522814804972,63.7515333333333,4.8759323173406,12.1626666666667,1.80972131233074,"Control"
"19","Te Pua",27,40.2519333333333,4.29636592710252,86.6721333333333,6.24292947208668,3.98953333333333,0.967963280510363,"Control"
"20","Te Pua",31,54.0184666666667,5.36392055855349,71.6717333333333,5.48459476298871,1.01113333333333,0.104929100968086,"Control"
"21","Mokihaha North",0,31.9630666666667,3.27196418769092,10.7934666666667,1.891203080624,1.01293333333333,0.112990766657187,"Possum + rat removal"
"22","Mokihaha North",2,65.7542,5.0106542623769,23.7549333333333,2.97970931021699,5.85093333333333,0.923888178756866,"Possum + rat removal"
"23","Mokihaha North",5,4.00073333333333,1.50402247361167,5.99673333333333,1.37105117129516,8.488,1.23237869605222,"Possum + rat removal"
"24","Mokihaha North",8,9.50453333333333,1.86388779724986,4.80073333333333,1.26398812228878,5.36373333333333,1.1468445458662,"Possum + rat removal"
"25","Mokihaha North",11,NA,NA,NA,NA,NA,NA,"Possum + rat removal"
"26","Mokihaha North",16,36.8222666666667,3.393127134322,21.0223333333333,2.75491207208577,8.99186666666667,1.44395504868898,"Possum + rat removal"
"27","Mokihaha North",19,22.3148666666667,2.23912033908,10.7786,1.76012932584027,5.15173333333333,1.07162814820009,"Possum + rat removal"
"28","Mokihaha North",22,18.0886666666667,2.55729822413604,14.8168,2.06976408194034,20.6022,2.35050139696218,"Possum + rat removal"
"29","Mokihaha North",27,24.9568,3.18649399961786,26.787,3.02969353832954,12.1033333333333,1.81484851541329,"Possum + rat removal"
"30","Mokihaha North",31,9.5026,1.86041858654295,14.3554666666667,2.16544592619923,3.9156,0.944176574919636,"Possum + rat removal"
"31","Rata Rd",0,34.1008,3.78794525593372,NA,NA,3.65726666666667,0.790427424829851,"Possum + rat removal"
"32","Rata Rd",2,10.4125333333333,1.83413208855218,94.1927333333333,6.64361320131198,3.6258,0.778769194796454,"Possum + rat removal"
"33","Rata Rd",5,NA,NA,13.5867333333333,2.11719377861088,NA,NA,"Possum + rat removal"
"34","Rata Rd",8,3.9798,1.49110926956754,NA,NA,6.4658,1.23633824746742,"Possum + rat removal"
"35","Rata Rd",11,7.51373333333333,1.63147852484611,NA,NA,15.8722,2.08704517053088,"Possum + rat removal"
"36","Rata Rd",16,22.0986,2.57567861246073,2.8,1.28664046891368,14.9882666666667,1.80294547053247,"Possum + rat removal"
"37","Rata Rd",19,4.99553333333333,1.48900230268886,3.67333333333333,1.24677952588578,5.2452,1.11209685307862,"Possum + rat removal"
"38","Rata Rd",22,20.9908,2.92425810175784,6.12306666666667,1.40330058993976,14.7234,2.01989218465471,"Possum + rat removal"
"39","Rata Rd",27,24.5090666666667,3.2408154304947,4.17893333333333,1.06798512865952,17.7823333333333,2.24358867328614,"Possum + rat removal"
"40","Rata Rd",31,17.139,2.58004963332246,10.685,1.88644610628755,3.61,0.758993898602534,"Possum + rat removal"
"41","Mokihaha South",0,35.3498666666667,3.63006957819889,64.0166666666667,5.18913454859091,1.01146666666667,0.106470361845065,"Possum removal"
"42","Mokihaha South",2,40.3390666666667,3.79190264870668,74.3552,5.31625028829611,5.16646666666667,1.08567986177926,"Possum removal"
"43","Mokihaha South",5,4.98973333333333,1.50032596261229,20.6564666666667,2.43776831614076,7.91253333333333,1.39859929484993,"Possum removal"
"44","Mokihaha South",8,16.1463333333333,2.42131728763141,9.2472,1.74100380038323,3.8794,0.926487739783316,"Possum removal"
"45","Mokihaha South",11,NA,NA,NA,NA,NA,NA,"Possum removal"
"46","Mokihaha South",16,59.9613333333333,5.38101928821367,21.92,2.83647722363545,1.297,0.518853493062493,"Possum removal"
"47","Mokihaha South",19,29.0056666666667,3.419534193887,14.0695333333333,2.18862615686626,1.01153333333333,0.106775819487673,"Possum removal"
"48","Mokihaha South",22,66.8061333333333,5.84644858978193,16.039,2.27870398094813,12.7003333333333,1.7404027758952,"Possum removal"
"49","Mokihaha South",27,74.3691333333333,6.20576946777766,21.1290666666667,2.64871217272983,8.58413333333333,1.24908990759754,"Possum removal"
"50","Mokihaha South",31,55.982,5.42315130141162,20.4377333333333,2.68235018762605,1.01146666666667,0.106470361845065,"Possum removal"
"51","Te Tehi",0,28.5217333333333,3.1944025955962,NA,NA,6.44053333333333,1.23381462767221,"Possum removal"
"52","Te Tehi",2,16.1559333333333,2.41592092319872,147.458866666667,9.50940253808466,6.59113333333333,1.25748431402101,"Possum removal"
"53","Te Tehi",5,NA,NA,41.7332,3.94747048900315,NA,NA,"Possum removal"
"54","Te Tehi",8,4.943,1.487200429557,2.8022,1.25803312217489,4.88213333333333,0.926011851302206,"Possum removal"
"55","Te Tehi",11,5.94806666666667,1.49445145607539,NA,NA,15.6834,1.99307867318541,"Possum removal"
"56","Te Tehi",16,14.2055333333333,2.03920734763846,12.8968666666667,2.00956862865984,24.1484666666667,3.02883408337529,"Possum removal"
"57","Te Tehi",19,32.016,3.72952248362491,21.749,2.82538454961271,7.79933333333333,1.38062544908613,"Possum removal"
"58","Te Tehi",22,92.4098,7.49608853889095,NA,NA,12.9565333333333,1.8503888541285,"Possum removal"
"59","Te Tehi",27,114.552333333333,9.18028756271853,16.5876,2.36474784606979,8.954,1.46738800203056,"Possum removal"
"60","Te Tehi",31,87.3701333333333,7.36152706899921,17.2108,2.4053168322013,1.31373333333333,0.537640523687593,"Possum removal"
"61","Kaimai North East",0,46.4483333333333,4.45530251912535,15.6828666666667,2.34170707427089,3.31546666666667,0.533260167881806,"Stoat removal"
"62","Kaimai North East",2,14.281,2.24757108268417,58.9472,4.93660174909035,11.4126666666667,1.6340188360989,"Stoat removal"
"63","Kaimai North East",5,26.5295333333333,3.23665869576272,54.2974666666667,4.742539371919,11.0182666666667,1.56859715309279,"Stoat removal"
"64","Kaimai North East",8,18.7612,2.75204399366656,95.3053333333333,6.4908946740646,3.95333333333333,0.951708606756133,"Stoat removal"
"65","Kaimai North East",11,23.9092666666667,3.09859229551687,NA,NA,8.057,1.44111858921668,"Stoat removal"
"66","Kaimai North East",16,51.3300666666667,5.00073226142255,80.8036666666667,5.99511323060141,1.01213333333333,0.109484769183668,"Stoat removal"
"67","Kaimai North East",19,29.9362,3.62775508183719,70.2176,5.51299160575239,1.3208,0.540654091932302,"Stoat removal"
"68","Kaimai North East",22,69.6204666666667,5.90962627366586,53.2935333333333,4.4471440260263,1.01353333333333,0.115546840258436,"Stoat removal"
"69","Kaimai North East",27,21.5637333333333,2.73876580198029,31.9838666666667,3.33247856854067,1.0112,0.105239243408643,"Stoat removal"
"70","Kaimai North East",31,26.5642,3.38275645434538,56.0246,4.2981266965435,1.0116,0.107080364276685,"Stoat removal"
"71","Kaimai North North",0,33.2815333333333,3.49266167288783,29.7008,3.35295325243795,6.9264,0.95574260983929,"Stoat removal"
"72","Kaimai North North",2,26.4147333333333,3.33978141074337,47.9224,4.11386758421237,8.69973333333333,1.34013419459876,"Stoat removal"
"73","Kaimai North North",5,50.3437333333333,5.00016474782474,45.0833333333333,4.08408711220246,7.417,1.22616389545875,"Stoat removal"
"74","Kaimai North North",8,17.1432,2.61545721963953,66.9153333333333,4.85262830044884,2.6132,0.758523203664001,"Stoat removal"
"75","Kaimai North North",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"76","Kaimai North North",16,33.1259333333333,3.78581073920577,52.7048666666667,4.27052441832102,1.32446666666667,0.544065972783698,"Stoat removal"
"77","Kaimai North North",19,29.3058,3.55556781646755,51.5444666666667,4.09473733473568,1.30866666666667,0.529096920981725,"Stoat removal"
"78","Kaimai North North",22,65.8766666666667,5.96681621542054,56.1114666666667,4.40444492808843,1.30513333333333,0.529067396188365,"Stoat removal"
"79","Kaimai North North",27,35.1942,3.8079547959478,38.8828666666667,3.0601150418179,2.61586666666667,0.768687826290475,"Stoat removal"
"80","Kaimai North North",31,18.6766666666667,2.68257375835599,44.5491333333333,3.0807064069279,1.01193333333333,0.108589663427153,"Stoat removal"
"81","Okopeka East",0,16.0316,2.39698097778306,54.8556,4.76849359952881,2.60866666666667,0.757427533598737,"Stoat removal"
"82","Okopeka East",2,9.4676,1.8470456622704,41.2526666666667,3.90474617507144,1.012,0.108888890400705,"Stoat removal"
"83","Okopeka East",5,9.4942,1.87141653300096,37.2017333333333,3.71409342391289,1.285,0.515292184172247,"Stoat removal"
"84","Okopeka East",8,7.97313333333333,1.4842815506737,73.402,5.67973121046306,1.01166666666667,0.107384003978756,"Stoat removal"
"85","Okopeka East",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"86","Okopeka East",16,34.7892,3.93355584055572,50.1041333333333,4.42235910643026,11.8488666666667,1.77601679738674,"Stoat removal"
"87","Okopeka East",19,46.9325333333333,4.827290658112,106.320333333333,7.17419109192182,5.2256,1.09403737040889,"Stoat removal"
"88","Okopeka East",22,33.5242666666667,3.80041760957346,77.7648666666667,5.73370479477279,10.3524666666667,1.61013666652696,"Stoat removal"
"89","Okopeka East",27,51.221,5.04259068813408,69.3653333333333,5.48730707404071,3.94666666666667,0.959383612890764,"Stoat removal"
"90","Okopeka East",31,35.3345333333333,4.02695524436576,49.3938,4.45180594048551,2.31706666666667,0.539896435840231,"Stoat removal"
"91","Okopeka West",0,50.5873333333333,5.09015718836223,15.7728666666667,2.3704117164892,8.95046666666667,1.47242124311513,"Stoat removal"
"92","Okopeka West",2,54.2754666666667,5.06285429526961,48.2297333333333,4.43967002980557,5.21553333333333,1.08993482041347,"Stoat removal"
"93","Okopeka West",5,41.8246,4.49669317646885,29.2035333333333,3.32145193930123,2.61846666666667,0.767596853313967,"Stoat removal"
"94","Okopeka West",8,10.5169333333333,1.86849654736423,35.5348,3.71705663942194,5.35106666666667,1.14678094507682,"Stoat removal"
"95","Okopeka West",11,NA,NA,NA,NA,NA,NA,"Stoat removal"
"96","Okopeka West",16,68.7816666666667,5.96056757196333,53.704,4.65532979208042,1.011,0.10430592176392,"Stoat removal"
"97","Okopeka West",19,74.6964666666667,6.60427452071903,62.7846666666667,5.18044599337434,6.26993333333333,1.11664040225196,"Stoat removal"
"98","Okopeka West",22,53.3558666666667,5.33015818601801,82.9582,5.97627814669792,6.34406666666667,1.20240641256092,"Stoat removal"
"99","Okopeka West",27,74.0924,6.3561746071865,58.1605333333333,4.89943833671676,3.80626666666667,0.90494308680431,"Stoat removal"
"100","Okopeka West",31,58.8823333333333,5.6636230745561,56.3666,4.82525543151158,1.01113333333333,0.104929100968086,"Stoat removal"
