"","grid","trip","month","year","totalm2","cum.seed","valley"
"1","egl M1",1,"May",1999,590.932246561386,784.513499745288,"egl"
"2","egl M1",2,"Aug",1999,30.5654610290372,815.078960774325,"egl"
"3","egl M1",3,"Nov",1999,10.1884870096791,825.267447784004,"egl"
"4","egl M1",4,"Feb",2000,20.3769740193581,20.3769740193581,"egl"
"5","egl M1",5,"May",2000,1304.12633723892,1324.50331125828,"egl"
"6","egl M1",6,"Aug",2000,376.974019358125,1701.4773306164,"egl"
"7","egl M1",7,"Nov",2000,15.2827305145186,1716.76006113092,"egl"
"8","egl M1",8,"Feb",2001,0,0,"egl"
"9","egl M1",9,"May",2001,0,0,"egl"
"10","egl M1",10,"Aug",2001,0,0,"egl"
"11","egl M1",11,"Nov",2001,0,0,"egl"
"12","egl M1",12,"May",2002,5.09424350483953,5.09424350483953,"egl"
"13","egl M1",13,"Nov",2002,0,5.09424350483953,"egl"
"14","egl M1",14,"Feb",2003,0,0,"egl"
"15","egl M1",15,"May",2003,20.3769740193581,20.3769740193581,"egl"
"16","egl M1",16,"Aug",2003,5.09424350483953,25.4712175241977,"egl"
"17","egl M1",17,"Nov",2003,0,25.4712175241977,"egl"
"18","egl M1",18,"Feb",2004,0,0,"egl"
"19","egl M1",19,"May",2004,0,0,"egl"
"20","egl M1",20,"Aug",2004,0,0,"egl"
"21","egl M2",1,"May",1999,1788.07947019868,1808.45644421803,"egl"
"22","egl M2",2,"Aug",1999,677.534386143658,2485.99083036169,"egl"
"23","egl M2",3,"Nov",1999,45.8481915435558,2531.83902190525,"egl"
"24","egl M2",4,"Feb",2000,0,0,"egl"
"25","egl M2",5,"May",2000,2649.00662251656,2649.00662251656,"egl"
"26","egl M2",6,"Aug",2000,641.874681609781,3290.88130412634,"egl"
"27","egl M2",7,"Nov",2000,96.7906265919511,3387.67193071829,"egl"
"28","egl M2",8,"Feb",2001,30.5654610290372,30.5654610290372,"egl"
"29","egl M2",9,"May",2001,0,30.5654610290372,"egl"
"30","egl M2",10,"Aug",2001,10.1884870096791,40.7539480387163,"egl"
"31","egl M2",11,"Nov",2001,0,40.7539480387163,"egl"
"32","egl M2",12,"May",2002,0,0,"egl"
"33","egl M2",13,"Nov",2002,0,0,"egl"
"34","egl M2",14,"Feb",2003,157.921548650025,157.921548650025,"egl"
"35","egl MR1",1,"May",1999,601.120733571065,896.586856851757,"egl"
"36","egl MR1",2,"Aug",1999,56.0366785532348,952.623535404992,"egl"
"37","egl MR1",3,"Nov",1999,0,952.623535404992,"egl"
"38","egl MR1",4,"Feb",2000,25.4712175241977,25.4712175241977,"egl"
"39","egl MR1",5,"May",2000,1385.63423331635,1411.10545084055,"egl"
"40","egl MR1",6,"Aug",2000,463.576158940397,1874.68160978095,"egl"
"41","egl MR1",7,"Nov",2000,56.0366785532348,1930.71828833418,"egl"
"42","egl MR1",8,"Feb",2001,10.1884870096791,10.1884870096791,"egl"
"43","egl MR1",9,"May",2001,0,10.1884870096791,"egl"
"44","egl MR1",10,"Aug",2001,0,10.1884870096791,"egl"
"45","egl MR1",11,"Nov",2001,5.09424350483953,15.2827305145186,"egl"
"46","egl MR1",12,"May",2002,5.09424350483953,5.09424350483953,"egl"
"47","egl MR1",13,"Nov",2002,0,5.09424350483953,"egl"
"48","egl MR1",14,"Feb",2003,0,0,"egl"
"49","egl MR1",15,"May",2003,20.3769740193581,20.3769740193581,"egl"
"50","egl MR1",16,"Aug",2003,5.09424350483953,25.4712175241977,"egl"
"51","egl MR1",17,"Nov",2003,0,25.4712175241977,"egl"
"52","egl MR1",18,"Feb",2004,0,0,"egl"
"53","egl MR1",19,"May",2004,0,0,"egl"
"54","egl MR1",20,"Aug",2004,0,0,"egl"
"55","egl MR2",1,"May",1999,1884.87009679063,1981.66072338258,"egl"
"56","egl MR2",2,"Aug",1999,570.555272542028,2552.21599592461,"egl"
"57","egl MR2",3,"Nov",1999,15.2827305145186,2567.49872643912,"egl"
"58","egl MR2",4,"Feb",2000,5.09424350483953,5.09424350483953,"egl"
"59","egl MR2",5,"May",2000,478.858889454916,483.953132959755,"egl"
"60","egl MR2",6,"Aug",2000,188.487009679063,672.440142638818,"egl"
"61","egl MR2",7,"Nov",2000,76.413652572593,748.853795211411,"egl"
"62","egl MR2",8,"Feb",2001,5.09424350483953,5.09424350483953,"egl"
"63","egl MR2",9,"May",2001,0,5.09424350483953,"egl"
"64","egl MR2",10,"Aug",2001,0,5.09424350483953,"egl"
"65","egl MR2",11,"Nov",2001,0,5.09424350483953,"egl"
"66","egl MR2",12,"May",2002,0,0,"egl"
"67","egl MR2",13,"Nov",2002,0,0,"egl"
"68","egl MR2",14,"Feb",2003,0,0,"egl"
"69","egl MR2",15,"May",2003,733.571064696892,733.571064696892,"egl"
"70","egl MR2",16,"Aug",2003,611.309220580744,1344.88028527764,"egl"
"71","egl MR2",17,"Nov",2003,45.8481915435558,1390.72847682119,"egl"
"72","egl MR2",18,"Feb",2004,0,0,"egl"
"73","egl MR2",19,"May",2004,0,0,"egl"
"74","egl MR2",20,"Aug",2004,40.7539480387163,40.7539480387163,"egl"
"75","hol M1",1,"May",1999,0,56.0366785532348,"hol"
"76","hol M1",2,"Aug",1999,0,56.0366785532348,"hol"
"77","hol M1",3,"Nov",1999,0,56.0366785532348,"hol"
"78","hol M1",4,"Feb",2000,0,0,"hol"
"79","hol M1",5,"May",2000,66.2251655629139,66.2251655629139,"hol"
"80","hol M1",6,"Aug",2000,15.2827305145186,81.5078960774325,"hol"
"81","hol M1",7,"Nov",2000,5.09424350483953,86.602139582272,"hol"
"82","hol M1",8,"Feb",2001,0,0,"hol"
"83","hol M1",9,"May",2001,0,0,"hol"
"84","hol M1",10,"Aug",2001,0,0,"hol"
"85","hol M1",11,"Nov",2001,0,0,"hol"
"86","hol M1",12,"May",2002,0,0,"hol"
"87","hol M1",13,"Nov",2002,5.09424350483953,5.09424350483953,"hol"
"88","hol M2",1,"May",1999,25.4712175241977,25.4712175241977,"hol"
"89","hol M2",2,"Aug",1999,5.09424350483953,30.5654610290372,"hol"
"90","hol M2",3,"Nov",1999,0,30.5654610290372,"hol"
"91","hol M2",4,"Feb",2000,81.5078960774325,81.5078960774325,"hol"
"92","hol M2",5,"May",2000,433.01069791136,514.518593988793,"hol"
"93","hol M2",6,"Aug",2000,290.371879775853,804.890473764646,"hol"
"94","hol M2",7,"Nov",2000,10.1884870096791,815.078960774325,"hol"
"95","hol M2",8,"Feb",2001,0,0,"hol"
"96","hol M2",9,"May",2001,0,0,"hol"
"97","hol M2",10,"Aug",2001,0,0,"hol"
"98","hol M2",11,"Nov",2001,5.09424350483953,5.09424350483953,"hol"
"99","hol M2",12,"May",2002,0,0,"hol"
"100","hol M2",13,"Nov",2002,0,0,"hol"
"101","hol M2",14,"Feb",2003,0,0,"hol"
"102","hol M2",15,"May",2003,402.445236882323,402.445236882323,"hol"
"103","hol M2",16,"Aug",2003,71.3194090677534,473.764645950076,"hol"
"104","hol M2",17,"Nov",2003,0,473.764645950076,"hol"
"105","hol M2",18,"Feb",2004,0,0,"hol"
"106","hol M2",19,"May",2004,0,0,"hol"
"107","hol M2",20,"Aug",2004,25.4712175241977,25.4712175241977,"hol"
"108","hol MR1",1,"May",1999,81.5078960774325,81.5078960774325,"hol"
"109","hol MR1",2,"Aug",1999,25.4712175241977,106.97911360163,"hol"
"110","hol MR1",3,"Nov",1999,0,106.97911360163,"hol"
"111","hol MR1",4,"Feb",2000,61.1309220580744,61.1309220580744,"hol"
"112","hol MR1",5,"May",2000,376.974019358125,438.1049414162,"hol"
"113","hol MR1",6,"Aug",2000,56.0366785532348,494.141619969435,"hol"
"114","hol MR1",7,"Nov",2000,40.7539480387163,534.895568008151,"hol"
"115","hol MR1",8,"Feb",2001,0,0,"hol"
"116","hol MR1",9,"May",2001,0,0,"hol"
"117","hol MR1",10,"Aug",2001,0,0,"hol"
"118","hol MR1",11,"Nov",2001,0,0,"hol"
"119","hol MR1",12,"May",2002,20.3769740193581,20.3769740193581,"hol"
"120","hol MR1",13,"Nov",2002,0,20.3769740193581,"hol"
"121","hol MR1",14,"Feb",2003,106.97911360163,106.97911360163,"hol"
"122","hol MR1",15,"May",2003,1701.4773306164,1808.45644421803,"hol"
"123","hol MR1",16,"Aug",2003,565.461029037188,2373.91747325522,"hol"
"124","hol MR1",17,"Nov",2003,30.5654610290372,2404.48293428426,"hol"
"125","hol MR1",18,"Feb",2004,0,0,"hol"
"126","hol MR1",19,"May",2004,10.1884870096791,10.1884870096791,"hol"
"127","hol MR1",20,"Aug",2004,0,10.1884870096791,"hol"
"128","hol MR2",1,"May",1999,10.1884870096791,10.1884870096791,"hol"
"129","hol MR2",2,"Aug",1999,0,10.1884870096791,"hol"
"130","hol MR2",3,"Nov",1999,0,10.1884870096791,"hol"
"131","hol MR2",4,"Feb",2000,91.6963830871116,91.6963830871116,"hol"
"132","hol MR2",5,"May",2000,1248.08965868569,1339.7860417728,"hol"
"133","hol MR2",6,"Aug",2000,213.95822720326,1553.74426897606,"hol"
"134","hol MR2",7,"Nov",2000,25.4712175241977,1579.21548650025,"hol"
"135","hol MR2",8,"Feb",2001,0,0,"hol"
"136","hol MR2",9,"May",2001,0,0,"hol"
"137","hol MR2",10,"Aug",2001,5.09424350483953,5.09424350483953,"hol"
"138","hol MR2",11,"Nov",2001,20.3769740193581,25.4712175241977,"hol"
"139","hol MR2",12,"May",2002,106.97911360163,106.97911360163,"hol"
"140","hol MR2",13,"Nov",2002,0,106.97911360163,"hol"
"141","hol MR2",14,"Feb",2003,0,0,"hol"
"142","hol MR2",15,"May",2003,728.476821192053,728.476821192053,"hol"
"143","hol MR2",16,"Aug",2003,122.261844116149,850.738665308202,"hol"
"144","hol MR2",17,"Nov",2003,10.1884870096791,860.927152317881,"hol"
"145","hol MR2",18,"Feb",2004,0,0,"hol"
"146","hol MR2",19,"May",2004,0,0,"hol"
"147","hol MR2",20,"Aug",2004,0,0,"hol"
