"","grid","trip.no","month","year","total","cum.seed","seedm2"
"1","egl M1",1,"May",1999,116,590.781767252356,590.781767252356
"2","egl M1",2,"Aug",1999,6,621.339444868857,30.5576776165011
"3","egl M1",3,"Nov",1999,2,631.52533740769,10.1858925388337
"4","egl M1",4,"Feb",2000,4,20.3717850776674,20.3717850776674
"5","egl M1",5,"May",2000,256,1324.16603004838,1303.79424497072
"6","egl M1",6,"Aug",2000,74,1701.04405398523,376.878023936847
"7","egl M1",7,"Nov",2000,3,1716.32289279348,15.2788388082506
"8","egl M1",8,"Feb",2001,0,0,0
"9","egl M1",9,"May",2001,0,0,0
"10","egl M1",10,"Aug",2001,0,0,0
"11","egl M1",11,"Nov",2001,0,0,0
"12","egl M1",12,"May",2002,1,5.09294626941686,5.09294626941686
"13","egl M1",13,"Nov",2002,0,5.09294626941686,0
"14","egl M1",14,"Feb",2003,0,0,0
"15","egl M1",15,"May",2003,4,20.3717850776674,20.3717850776674
"16","egl M1",16,"Aug",2003,1,25.4647313470843,5.09294626941686
"17","egl M1",17,"Nov",2003,0,25.4647313470843,0
"18","egl M1",18,"Feb",2004,0,0,0
"19","egl M1",19,"May",2004,0,0,0
"20","egl M1",20,"Aug",2004,0,0,0
"21","egl M2",1,"May",1999,351,1787.62414056532,1787.62414056532
"22","egl M2",2,"Aug",1999,133,2464.98599439776,677.361853832442
"23","egl M2",3,"Nov",1999,9,2510.82251082251,45.8365164247517
"24","egl M2",4,"Feb",2000,0,0,0
"25","egl M2",5,"May",2000,520,2648.33206009677,2648.33206009677
"26","egl M2",6,"Aug",2000,126,3290.04329004329,641.711229946524
"27","egl M2",7,"Nov",2000,19,3386.80926916221,96.7659791189203
"28","egl M2",8,"Feb",2001,6,30.5576776165011,30.5576776165011
"29","egl M2",9,"May",2001,0,30.5576776165011,0
"30","egl M2",10,"Aug",2001,2,40.7435701553349,10.1858925388337
"31","egl M2",11,"Nov",2001,0,40.7435701553349,0
"32","egl M2",12,"May",2002,0,0,0
"33","egl MR1",1,"May",1999,118,600.967659791189,600.967659791189
"34","egl MR1",2,"Aug",1999,11,656.990068754775,56.0224089635854
"35","egl MR1",3,"Nov",1999,0,656.990068754775,0
"36","egl MR1",4,"Feb",2000,5,25.4647313470843,25.4647313470843
"37","egl MR1",5,"May",2000,272,1410.74611662847,1385.28138528139
"38","egl MR1",6,"Aug",2000,91,1874.2042271454,463.458110516934
"39","egl MR1",7,"Nov",2000,11,1930.22663610899,56.0224089635854
"40","egl MR1",8,"Feb",2001,2,10.1858925388337,10.1858925388337
"41","egl MR1",9,"May",2001,0,10.1858925388337,0
"42","egl MR1",10,"Aug",2001,0,10.1858925388337,0
"43","egl MR1",11,"Nov",2001,1,15.2788388082506,5.09294626941686
"44","egl MR1",12,"May",2002,1,5.09294626941686,5.09294626941686
"45","egl MR1",13,"Nov",2002,0,5.09294626941686,0
"46","egl MR1",14,"Feb",2003,0,0,0
"47","egl MR1",15,"May",2003,4,20.3717850776674,20.3717850776674
"48","egl MR1",16,"Aug",2003,1,25.4647313470843,5.09294626941686
"49","egl MR1",17,"Nov",2003,0,25.4647313470843,0
"50","egl MR1",18,"Feb",2004,0,0,0
"51","egl MR1",19,"May",2004,0,0,0
"52","egl MR1",20,"Aug",2004,0,0,0
"53","egl MR2",1,"May",1999,370,1884.39011968424,1884.39011968424
"54","egl MR2",2,"Aug",1999,112,2454.80010185893,570.409982174688
"55","egl MR2",3,"Nov",1999,3,2470.07894066718,15.2788388082506
"56","egl MR2",4,"Feb",2000,1,5.09294626941686,5.09294626941686
"57","egl MR2",5,"May",2000,94,483.829895594602,478.736949325185
"58","egl MR2",6,"Aug",2000,37,672.268907563025,188.439011968424
"59","egl MR2",7,"Nov",2000,15,748.663101604278,76.3941940412529
"60","egl MR2",8,"Feb",2001,1,5.09294626941686,5.09294626941686
"61","egl MR2",9,"May",2001,0,5.09294626941686,0
"62","egl MR2",10,"Aug",2001,0,5.09294626941686,0
"63","egl MR2",11,"Nov",2001,0,5.09294626941686,0
"64","egl MR2",12,"May",2002,0,0,0
"65","egl MR2",13,"Nov",2002,0,0,0
"66","egl MR2",14,"Feb",2003,0,0,0
"67","egl MR2",15,"May",2003,144,733.384262796028,733.384262796028
"68","egl MR2",16,"Aug",2003,120,1344.53781512605,611.153552330023
"69","egl MR2",17,"Nov",2003,9,1390.3743315508,45.8365164247517
"70","egl MR2",18,"Feb",2004,0,0,0
"71","egl MR2",19,"May",2004,0,0,0
"72","egl MR2",20,"Aug",2004,8,40.7435701553349,40.7435701553349
"73","hol M1",1,"May",1999,0,0,0
"74","hol M1",2,"Aug",1999,0,0,0
"75","hol M1",3,"Nov",1999,0,0,0
"76","hol M1",4,"Feb",2000,0,0,0
"77","hol M1",5,"May",2000,13,66.2083015024191,66.2083015024191
"78","hol M1",6,"Aug",2000,3,81.4871403106697,15.2788388082506
"79","hol M1",7,"Nov",2000,1,86.5800865800866,5.09294626941686
"80","hol M1",8,"Feb",2001,0,0,0
"81","hol M1",9,"May",2001,0,0,0
"82","hol M1",10,"Aug",2001,0,0,0
"83","hol M1",11,"Nov",2001,0,0,0
"84","hol M1",12,"May",2002,0,0,0
"85","hol M2",1,"May",1999,5,25.4647313470843,25.4647313470843
"86","hol M2",2,"Aug",1999,1,30.5576776165011,5.09294626941686
"87","hol M2",3,"Nov",1999,0,30.5576776165011,0
"88","hol M2",4,"Feb",2000,16,81.4871403106697,81.4871403106697
"89","hol M2",5,"May",2000,85,514.387573211103,432.900432900433
"90","hol M2",6,"Aug",2000,57,804.685510567864,290.297937356761
"91","hol M2",7,"Nov",2000,2,814.871403106697,10.1858925388337
"92","hol M2",8,"Feb",2001,0,0,0
"93","hol M2",9,"May",2001,0,0,0
"94","hol M2",10,"Aug",2001,0,0,0
"95","hol M2",11,"Nov",2001,1,5.09294626941686,5.09294626941686
"96","hol M2",12,"May",2002,0,0,0
"97","hol M2",13,"Nov",2002,0,0,0
"98","hol M2",14,"Feb",2003,0,0,0
"99","hol M2",15,"May",2003,79,402.342755283932,402.342755283932
"100","hol M2",16,"Aug",2003,14,473.644003055768,71.301247771836
"101","hol M2",17,"Nov",2003,0,473.644003055768,0
"102","hol M2",18,"Feb",2004,0,0,0
"103","hol M2",19,"May",2004,0,0,0
"104","hol M2",20,"Aug",2004,5,25.4647313470843,25.4647313470843
"105","hol MR1",1,"May",1999,16,81.4871403106697,81.4871403106697
"106","hol MR1",2,"Aug",1999,5,106.951871657754,25.4647313470843
"107","hol MR1",3,"Nov",1999,0,106.951871657754,0
"108","hol MR1",4,"Feb",2000,12,61.1153552330023,61.1153552330023
"109","hol MR1",5,"May",2000,74,437.99337916985,376.878023936847
"110","hol MR1",6,"Aug",2000,11,494.015788133435,56.0224089635854
"111","hol MR1",7,"Nov",2000,8,534.75935828877,40.7435701553349
"112","hol MR1",8,"Feb",2001,0,0,0
"113","hol MR1",9,"May",2001,0,0,0
"114","hol MR1",10,"Aug",2001,0,0,0
"115","hol MR1",11,"Nov",2001,0,0,0
"116","hol MR1",12,"May",2002,4,20.3717850776674,20.3717850776674
"117","hol MR1",13,"Nov",2002,0,20.3717850776674,0
"118","hol MR1",14,"Feb",2003,21,106.951871657754,106.951871657754
"119","hol MR1",15,"May",2003,334,1807.99592564298,1701.04405398523
"120","hol MR1",16,"Aug",2003,111,2373.31296154826,565.317035905271
"121","hol MR1",17,"Nov",2003,6,2403.87063916476,30.5576776165011
"122","hol MR1",18,"Feb",2004,0,0,0
"123","hol MR1",19,"May",2004,2,10.1858925388337,10.1858925388337
"124","hol MR1",20,"Aug",2004,0,10.1858925388337,0
"125","hol MR2",1,"May",1999,2,10.1858925388337,10.1858925388337
"126","hol MR2",2,"Aug",1999,0,10.1858925388337,0
"127","hol MR2",3,"Nov",1999,0,10.1858925388337,0
"128","hol MR2",4,"Feb",2000,18,91.6730328495034,91.6730328495034
"129","hol MR2",5,"May",2000,245,1339.44486885663,1247.77183600713
"130","hol MR2",6,"Aug",2000,42,1553.34861217214,213.903743315508
"131","hol MR2",7,"Nov",2000,5,1578.81334351923,25.4647313470843
"132","hol MR2",8,"Feb",2001,0,0,0
"133","hol MR2",9,"May",2001,0,0,0
"134","hol MR2",10,"Aug",2001,1,5.09294626941686,5.09294626941686
"135","hol MR2",11,"Nov",2001,4,25.4647313470843,20.3717850776674
"136","hol MR2",12,"May",2002,21,106.951871657754,106.951871657754
"137","hol MR2",13,"Nov",2002,0,106.951871657754,0
"138","hol MR2",14,"Feb",2003,0,0,0
"139","hol MR2",15,"May",2003,143,728.291316526611,728.291316526611
"140","hol MR2",16,"Aug",2003,24,850.522026992615,122.230710466005
"141","hol MR2",17,"Nov",2003,2,860.707919531449,10.1858925388337
"142","hol MR2",18,"Feb",2004,0,0,0
"143","hol MR2",19,"May",2004,0,0,0
"144","hol MR2",20,"Aug",2004,0,0,0
